time,condition,detected_context,scenario_context,detected_emotion,scenario_emotion,reply_emotion
1553797096,0,kitchen,Home,Angry,Angry,Neutral
1553797121,0,kitchen,Home,Angry,Upset,Neutral
1553797146,0,kitchen,Home,Angry,Neutral,Neutral
1553797289,1,kitchen,Home,Angry,Neutral,Angry
1553797324,1,kitchen,Home,Others,Happy,Angry
1553797355,1,kitchen,Home,Angry,Angry,Angry
1553797383,1,kitchen,Home,Angry,Upset,Sad
1553797604,2,kitchen,Home,Angry,Angry,Supportive
1553797633,2,kitchen,Home,Angry,Upset,Supportive
1553797656,2,kitchen,Home,Angry,Neutral,Neutral
1553797678,2,kitchen,Home,Angry,Happy,Happy
1553797843,3,kitchen,Home,Angry,Upset,Neutral
1553797887,3,kitchen,Home,Angry,Neutral,Supportive
1553797923,3,kitchen,Home,Angry,Happy,Happy
1553797962,3,kitchen,Home,Angry,Angry,Supportive
1553854020,0,kitchen,Alone,Angry,Angry,Neutral
1553854046,0,kitchen,Alone,Angry,Upset,Neutral
1553854090,0,kitchen,Alone,Angry,Neutral,Neutral
1553854104,0,kitchen,Alone,Angry,Happy,Neutral
1553854244,1,kitchen,Alone,Angry,Neutral,Supportive
1553854269,1,kitchen,Alone,Angry,Neutral,Angry
1553854290,1,kitchen,Alone,Angry,Happy,Neutral
1553854316,1,kitchen,Alone,Angry,Angry,Happy
1553854337,1,kitchen,Alone,Angry,Upset,Neutral
1553854423,2,kitchen,Alone,Angry,Upset,Supportive
1553854444,2,kitchen,Alone,Angry,Neutral,Neutral
1553854466,2,kitchen,Alone,Angry,Happy,Happy
1553854488,2,kitchen,Alone,Angry,Angry,Supportive
1553854585,3,kitchen,Alone,Angry,Happy,Happy
1553854622,3,kitchen,Alone,Angry,Angry,Sad
1553854647,3,kitchen,Alone,Angry,Upset,Supportive
1553854674,3,kitchen,Alone,Angry,Neutral,Neutral
1553855916,0,office,Home,Angry,Neutral,Neutral
1553856845,0,kitchen,Home,Angry,Angry,Neutral
1553856870,0,kitchen,Home,Angry,Happy,Neutral
1553856915,0,kitchen,Home,Angry,Upset,Neutral
1553856945,0,kitchen,Home,Angry,Neutral,Neutral
1553857168,1,kitchen,Home,Angry,Upset,Sad
1553857197,1,kitchen,Home,Angry,Neutral,Neutral
1553857222,1,kitchen,Home,Angry,Neutral,Sad
1553857248,1,kitchen,Home,Angry,Happy,Neutral
1553857423,2,kitchen,Home,Angry,Neutral,Neutral
1553857453,2,kitchen,Home,Angry,Upset,Supportive
1553857479,2,kitchen,Home,Angry,Happy,Happy
1553857509,2,kitchen,Home,Angry,Angry,Supportive
1553857643,3,kitchen,Home,Angry,Happy,Supportive
1553857688,3,kitchen,Home,Angry,Neutral,Neutral
1553857728,3,kitchen,Home,Angry,Angry,Neutral
1553857766,3,kitchen,Home,Angry,Neutral,Supportive
